iter	Passed	Remaining
138	9597	59449
139	9658	59331
140	9728	59270
141	9815	59307
142	9891	59279
143	9958	59200
144	10033	59161
145	10115	59166
146	10184	59097
147	10254	59030
148	10315	58917
149	10382	58833
150	10445	58728
151	10500	58581
152	10563	58476
153	10617	58324
154	10677	58209
155	10737	58094
156	10806	58026
157	10866	57910
158	10932	57825
159	10996	57729
160	11051	57588
161	11127	57559
162	11184	57432
163	11253	57367
164	11307	57223
165	11369	57119
166	11446	57093
167	11506	56984
168	11559	56839
169	11631	56790
170	11697	56709
171	11764	56633
172	11829	56549
173	11887	56432
174	11952	56348
175	12014	56247
176	12070	56124
177	12143	56076
178	12213	56018
179	12276	55926
180	12340	55839
181	12398	55722
182	12454	55602
183	12520	55525
184	12584	55440
185	12648	55352
186	12718	55294
187	12776	55184
188	12832	55063
189	12896	54978
190	12955	54876
191	13017	54780
192	13075	54674
193	13137	54582
194	13201	54498
195	13266	54417
196	13324	54312
197	13383	54211
198	13442	54106
199	13498	53992
200	13582	53994
201	13674	54022
202	13754	54003
203	13825	53945
204	13906	53930
205	13969	53844
206	14050	53825
207	14152	53887
208	14246	53919
209	14315	53852
210	14393	53822
211	14450	53712
212	14514	53628
213	14575	53535
214	14634	53433
215	14705	53375
216	14769	53293
217	14837	53225
218	14902	53146
219	14957	53031
220	15022	52951
221	15079	52846
222	15139	52749
223	15193	52635
224	15251	52531
225	15310	52436
226	15363	52316
227	15417	52203
228	15469	52082
229	15522	51966
230	15585	51884
231	15669	51870
232	15743	51824
233	15800	51722
234	15855	51613
235	15923	51549
236	15974	51429
237	16031	51327
238	16085	51217
239	16135	51097
240	16194	51001
241	16254	50912
242	16308	50805
243	16361	50694
244	16425	50618
245	16489	50539
246	16558	50478
247	16610	50366
248	16668	50272
249	16728	50184
250	16798	50127
251	16872	50082
252	16939	50015
253	16999	49928
254	17064	49855
255	17121	49759
256	17177	49661
257	17236	49570
258	17287	49458
259	17345	49369
260	17404	49278
261	17466	49198
262	17520	49098
263	17577	49003
264	17630	48898
265	17687	48806
266	17749	48727
267	17822	48680
268	17877	48582
269	17935	48492
270	17994	48405
271	18053	48320
272	18102	48207
273	18171	48148
274	18240	48087
275	18295	47993
276	18359	47920
277	18415	47827
278	18476	47747
279	18531	47652
280	18596	47583
281	18653	47494
282	18703	47387
283	18762	47302
284	18814	47202
285	18872	47114
286	18929	47027
287	18982	46929
288	19030	46819
289	19088	46734
290	19145	46647
291	19205	46566
292	19278	46518
293	19350	46467
294	19430	46435
295	19497	46373
296	19568	46319
297	19635	46254
298	19701	46190
299	19788	46173
300	19864	46130
301	19955	46121
302	20015	46042
303	20074	45960
304	20131	45872
305	20194	45800
306	20254	45721
307	20316	45646
308	20376	45565
309	20437	45488
310	20489	45394
311	20540	45294
312	20602	45221
313	20656	45127
314	20719	45056
315	20781	44982
316	20854	44932
317	20911	44848
318	20971	44768
319	21028	44686
320	21081	44591
321	21148	44530
322	21203	44441
323	21253	44343
324	21303	44244
325	21365	44173
326	21420	44085
327	21472	43992
328	21527	43905
329	21579	43813
330	21639	43736
331	21691	43644
332	21750	43566
333	21808	43487
334	21874	43422
335	21929	43337
336	21996	43274
337	22078	43242
338	22139	43169
339	22194	43083
340	22251	43003
341	22314	42933
342	22377	42862
343	22438	42789
344	22495	42708
345	22551	42626
346	22614	42556
347	22670	42474
348	22730	42400
349	22782	42310
350	22852	42254
351	22912	42179
352	22966	42095
353	23030	42028
354	23084	41942
355	23140	41861
356	23195	41778
357	23247	41689
358	23314	41629
359	23379	41564
360	23443	41497
361	23498	41414
362	23555	41336
363	23613	41258
364	23673	41186
365	23727	41102
366	23788	41030
367	23842	40946
368	23898	40867
369	23964	40804
370	24018	40721
371	24078	40647
372	24141	40581
373	24208	40520
374	24264	40441
375	24325	40369
376	24379	40287
377	24439	40215
378	24498	40141
379	24557	40067
380	24616	39993
381	24675	39919
382	24730	39839
383	24780	39752
384	24843	39684
385	24896	39602
386	24975	39560
387	25055	39520
388	25134	39478
389	25206	39425
390	25265	39352
391	25332	39291
392	25394	39223
393	25465	39168
394	25546	39127
395	25613	39066
396	25672	38994
397	25728	38915
398	25785	38840
399	25848	38773
400	25905	38696
401	25969	38631
402	26033	38565
403	26094	38495
404	26152	38421
405	26213	38351
406	26285	38298
407	26339	38218
408	26399	38146
409	26451	38065
410	26510	37992
411	26564	37912
412	26631	37851
413	26688	37777
414	26744	37700
415	26803	37627
416	26856	37547
417	26916	37476
418	26984	37417
419	27063	37372
420	27139	37324
421	27203	37260
422	27261	37186
423	27319	37112
424	27379	37042
425	27431	36961
426	27485	36883
427	27542	36808
428	27603	36740
429	27667	36675
430	27722	36599
431	27783	36530
432	27855	36475
433	27909	36397
434	27969	36328
435	28026	36254
436	28083	36181
437	28146	36115
438	28203	36040
439	28272	35983
440	28351	35937
441	28420	35879
442	28485	35816
443	28549	35751
444	28610	35682
445	28672	35615
446	28730	35544
447	28793	35477
448	28848	35401
449	28912	35337
450	28978	35274
451	29042	35210
452	29105	35145
453	29166	35076
454	29225	35006
455	29293	34947
456	29363	34888
457	29431	34829
458	29492	34761
459	29556	34696
460	29621	34633
461	29696	34581
462	29764	34521
463	29832	34462
464	29898	34399
465	29966	34339
466	30042	34287
467	30115	34233
468	30177	34166
469	30248	34110
470	30318	34052
471	30382	33987
472	30447	33923
473	30513	33861
474	30576	33795
475	30644	33734
476	30731	33695
477	30808	33644
478	30875	33583
479	30959	33539
480	31039	33491
481	31137	33462
482	31217	33414
483	31297	33366
484	31359	33299
485	31416	33226
486	31481	33162
487	31545	33096
488	31600	33022
489	31663	32956
490	31726	32890
491	31794	32828
492	31850	32755
493	31915	32690
494	31974	32620
495	32031	32548
496	32096	32483
497	32158	32416
498	32227	32356
499	32289	32289
500	32340	32211
501	32398	32140
502	32458	32070
503	32517	32001
504	32582	31937
505	32645	31871
506	32693	31790
507	32750	31718
508	32807	31647
509	32860	31571
510	32912	31495
511	32972	31426
512	33031	31357
513	33093	31290
514	33155	31224
515	33209	31149
516	33263	31075
517	33320	31005
518	33372	30928
519	33434	30862
520	33505	30804
521	33573	30743
522	33639	30680
523	33697	30610
524	33751	30537
525	33826	30482
526	33886	30414
527	33941	30341
528	33995	30267
529	34054	30199
530	34119	30135
531	34179	30067
532	34232	29993
533	34295	29928
534	34352	29857
535	34407	29785
536	34554	29792
537	34618	29727
538	34685	29666
539	34750	29602
540	34813	29537
541	34867	29463
542	34921	29390
543	34980	29322
544	35039	29253
545	35101	29186
546	35162	29120
547	35224	29053
548	35279	28982
549	35338	28912
550	35395	28842
551	35446	28768
552	35499	28694
553	35549	28619
554	35597	28542
555	35656	28473
556	35713	28404
557	35771	28335
558	35833	28269
559	35884	28195
560	35946	28129
561	36008	28063
562	36072	27999
563	36130	27930
564	36187	27861
565	36245	27792
566	36306	27726
567	36365	27658
568	36432	27596
569	36509	27541
570	36572	27477
571	36641	27417
572	36714	27359
573	36788	27303
574	36873	27254
575	36945	27196
576	37014	27135
577	37071	27065
578	37131	26998
579	37201	26939
580	37268	26877
581	37341	26819
582	37399	26750
583	37451	26677
584	37507	26607
585	37559	26535
586	37611	26462
587	37670	26394
588	37722	26322
589	37781	26254
590	37840	26187
591	37911	26128
592	37966	26058
593	38031	25994
594	38094	25929
595	38164	25869
596	38217	25798
597	38286	25737
598	38348	25672
599	38402	25601
600	38453	25528
601	38506	25457
602	38574	25396
603	38637	25331
604	38696	25264
605	38757	25198
606	38807	25126
607	38868	25060
608	38937	24999
609	38993	24930
610	39053	24863
611	39101	24789
612	39163	24725
613	39229	24661
614	39287	24594
615	39345	24526
616	39404	24459
617	39460	24391
618	39514	24321
619	39572	24254
620	39634	24188
621	39693	24122
622	39755	24057
623	39821	23994
624	39879	23927
625	39938	23860
626	39993	23792
627	40051	23725
628	40105	23654
629	40168	23591
630	40228	23525
631	40279	23453
632	40336	23386
633	40397	23321
634	40458	23255
635	40506	23183
636	40561	23114
637	40613	23044
638	40668	22975
639	40721	22905
640	40779	22839
641	40834	22770
642	40893	22704
643	40945	22634
644	41018	22576
645	41083	22513
646	41143	22447
647	41204	22382
648	41260	22314
649	41316	22247
650	41379	22183
651	41439	22117
652	41497	22051
653	41554	21984
654	41611	21917
655	41674	21853
656	41728	21785
657	41790	21720
658	41841	21650
659	41896	21582
660	41953	21516
661	42018	21453
662	42083	21390
663	42157	21332
664	42226	21271
665	42304	21215
666	42392	21164
667	42461	21103
668	42532	21043
669	42608	20986
670	42678	20925
671	42743	20863
672	42808	20799
673	42868	20734
674	42919	20665
675	42977	20598
676	43038	20533
677	43104	20471
678	43170	20408
679	43229	20343
680	43288	20277
681	43344	20210
682	43405	20145
683	43462	20079
684	43523	20014
685	43586	19950
686	43648	19886
687	43709	19821
688	43771	19757
689	43827	19690
690	43880	19622
691	43938	19556
692	43993	19489
693	44054	19424
694	44108	19356
695	44162	19289
696	44222	19224
697	44282	19159
698	44341	19094
699	44400	19028
700	44464	18965
701	44525	18901
702	44587	18837
703	44646	18771
704	44707	18707
705	44773	18645
706	44832	18579
707	44898	18517
708	44960	18453
709	45020	18388
710	45077	18322
711	45133	18256
712	45199	18194
713	45266	18131
714	45319	18064
715	45382	18000
716	45438	17934
717	45505	17872
718	45562	17806
719	45618	17740
720	45678	17675
721	45735	17609
722	45791	17543
723	45847	17477
724	45900	17410
725	45952	17343
726	46009	17277
727	46066	17211
728	46125	17146
729	46188	17083
730	46246	17018
731	46305	16953
732	46359	16886
733	46417	16821
734	46476	16756
735	46527	16689
736	46588	16625
737	46640	16557
738	46697	16492
739	46757	16428
740	46811	16361
741	46862	16294
742	46927	16232
743	46981	16165
744	47032	16098
745	47087	16032
746	47139	15965
747	47188	15897
748	47245	15832
749	47311	15770
750	47379	15708
751	47456	15650
752	47524	15589
753	47590	15526
754	47648	15462
755	47724	15403
756	47800	15344
757	47874	15284
758	47937	15221
759	48007	15160
760	48072	15097
761	48135	15034
762	48213	14975
763	48280	14913
764	48353	14853
765	48417	14790
766	48482	14727
767	48542	14663
768	48598	14598
769	48659	14534
770	48727	14472
771	48797	14411
772	48870	14351
773	48931	14287
774	49002	14226
775	49068	14164
776	49127	14099
777	49178	14032
778	49232	13967
779	49288	13902
780	49349	13838
781	49418	13776
782	49477	13712
783	49534	13647
784	49589	13581
785	49644	13516
786	49697	13450
787	49768	13389
788	49825	13324
789	49890	13262
790	49955	13199
791	50019	13136
792	50086	13074
793	50141	13008
794	50193	12942
795	50249	12878
796	50309	12814
797	50372	12750
798	50427	12685
799	50480	12620
800	50534	12554
801	50596	12491
802	50651	12426
803	50707	12361
804	50770	12298
805	50823	12232
806	50879	12168
807	50939	12104
808	50994	12039
809	51053	11975
810	51111	11911
811	51167	11846
812	51225	11782
813	51292	11720
814	51355	11657
815	51424	11595
816	51499	11535
817	51561	11472
818	51618	11407
819	51680	11344
820	51739	11280
821	51793	11215
822	51861	11153
823	51921	11089
824	51972	11024
825	52031	10960
826	52092	10897
827	52149	10832
828	52207	10768
829	52260	10703
830	52310	10638
831	52365	10573
832	52428	10510
833	52492	10448
834	52560	10386
835	52623	10323
836	52675	10258
837	52732	10194
838	52783	10128
839	52846	10065
840	52909	10003
841	52974	9940
842	53040	9878
843	53096	9813
844	53152	9749
845	53206	9685
846	53269	9622
847	53329	9559
848	53407	9498
849	53490	9439
850	53560	9377
851	53642	9318
852	53709	9255
853	53791	9196
854	53873	9136
855	53953	9076
856	54015	9013
857	54070	8948
858	54126	8884
859	54186	8821
860	54243	8757
861	54301	8693
862	54355	8628
863	54417	8565
864	54473	8501
865	54535	8438
866	54585	8373
867	54638	8309
868	54699	8245
869	54761	8182
870	54813	8118
871	54867	8053
872	54931	7991
873	54984	7926
874	55046	7863
875	55124	7802
876	55200	7741
877	55272	7680
878	55332	7616
879	55410	7556
880	55478	7493
881	55537	7430
882	55595	7366
883	55664	7304
884	55746	7243
885	55806	7180
886	55871	7117
887	55941	7055
888	56002	6992
889	56064	6929
890	56128	6866
891	56188	6803
892	56253	6740
893	56323	6678
894	56387	6615
895	56455	6552
896	56516	6489
897	56572	6425
898	56629	6362
899	56688	6298
900	56751	6235
901	56811	6172
902	56870	6109
903	56933	6045
904	57007	5984
905	57078	5922
906	57150	5860
907	57238	5799
908	57318	5738
909	57380	5675
910	57447	5612
911	57531	5551
912	57617	5490
913	57712	5430
914	57799	5369
915	57869	5306
916	57938	5244
917	58064	5186
918	58178	5127
919	58245	5064
920	58300	5000
921	58359	4937
922	58418	4873
923	58481	4810
924	58543	4746
925	58601	4683
926	58663	4619
927	58728	4556
928	58797	4493
929	58867	4430
930	58924	4367
931	58996	4304
932	59082	4242
933	59157	4180
934	59225	4117
935	59305	4055
936	59373	3992
937	59521	3934
938	59625	3873
939	59702	3810
940	59776	3747
941	59849	3684
942	59937	3622
943	60015	3560
944	60086	3497
945	60152	3433
946	60225	3370
947	60289	3307
948	60350	3243
949	60410	3179
950	60473	3115
951	60532	3052
952	60586	2987
953	60644	2924
954	60710	2860
955	60773	2797
956	60838	2733
957	60902	2670
958	60965	2606
959	61028	2542
960	61090	2479
961	61146	2415
962	61212	2351
963	61275	2288
964	61339	2224
965	61396	2160
966	61453	2097
967	61516	2033
968	61576	1969
969	61638	1906
970	61703	1842
971	61761	1779
972	61820	1715
973	61882	1651
974	61944	1588
975	62007	1524
976	62073	1461
977	62128	1397
978	62182	1333
979	62234	1270
980	62300	1206
981	62361	1143
982	62420	1079
983	62482	1015
984	62586	953
985	62648	889
986	62709	825
987	62766	762
988	62818	698
989	62878	635
990	62942	571
991	63006	508
992	63076	444
993	63142	381
994	63192	317
995	63249	254
996	63311	190
997	63372	126
998	63430	63
999	63493	0
